asin,title,salesRank,price,category,numReviews
B004D1GZ2E,21 Limited Edition,112806,45.97,top_review,1953
B0026P3G12,I Dreamed A Dream,1108,27.52,top_review,1926
B0000AGWEC,Measure of a Man,39662,6.88,top_review,1823
B004K4AUZW,Born This Way,27604,36.02,top_review,1527
B000BGR18W,Some Hearts,1837,4.74,top_review,1386
B00008H2LB,Meteora,450,4.99,top_review,1325
B008K9SG9K,Night Visions,65,19.99,top_review,1291
B00005YW4H,Come Away with Me,429,9.95,top_review,1282
B0007NFL18,The Massacre,10505,10.98,top_review,1047
B000084T18,Get Rich Or Die Tryin,2573,8.15,top_review,977
B000IY04RC,Daughtry,9147,16.12,top_review,957
B000N2G3RY,Back To Black Explicit Lyrics,416,21.99,top_review,927
B00004T9UF,The Marshall Mathers LP,1764,8.39,top_review,914
B0075MFS9Y,The Lumineers,259,25,top_review,901
B00006690F,The Eminem Show [Limited Edition w/ Bonus DVD],62107,9.49,top_review,884
B00IOVH8AW,Happy (From Despicable Me 2),50,0.99,top_review,836
B00004XOWM,Chocolate Starfish and the Hot Dog Flavored Water,4632,7.99,top_review,797
B000021YQV,Toxicity,2545,7.29,top_review,778
B006M4RN3U,Some Nights,360,24.66,top_review,770
B000UMQDHC,NULL,751,20.99,top_review,767
B005QJZ5FA,NULL,94,31.38,top_review,686
B00065XJ52,Encore (Deluxe Edition),2183,13.79,top_review,686
B000EMGAOY,Stadium Arcadium,1417,11.88,top_review,684
B007DIQAXI,NULL,926,31.99,top_review,676
B003V5PPZG,NULL,106827,34.45,top_review,654
B00065BYAY,Free Yourself,11134,6.92,top_review,634
B0000AGWFX,Speakerboxxx/ The Love Below,3162,25.61,top_review,630
B00970FKQ8,Gangnam Style (?????),1523,1.29,top_review,620
B00000016W,Pet Sounds,77205,9.49,top_review,600
B000001DZO,Gold: Greatest Hits,986,35,top_review,597
B0000025RI,Thriller,96959,5,top_review,596
B0090OPBTC,NULL,163708,29.99,top_review,592
B0000CD5FR,Eagles : The Very Best Of (2CD),50,13.99,top_review,591
B0000025BA,Tapestry,17003,5.12,top_review,591
B00005ICAW,Weezer (Green Album),1592,8.98,top_review,580
B00008J4P5,Elephant,97145,7.68,top_review,580
B000067CPX,By the Way,1260,9.7,top_review,572
B0006ZQ9BS,The Documentary,8430,7.49,top_review,572
B00000IAU3,No Angel,35239,8.8,top_review,568
B000H0MKGK,Continuum,66541,6.73,top_review,566
B000NVIXFK,NULL,6564,26.98,top_review,553
B0000029DD,Grace,729,4.99,top_review,540
B00005QG9J,Morning View,42954,11.99,top_review,529
B00000J7JO,Californication,965,6.88,top_review,526
B000AL730O,Chaos and Creation in the Backyard,11047,5.93,top_review,525
B0074MZSPO,NULL,3952,38.53,top_review,523
B000023VR6,Chronic 2001,1038,7.5,top_review,520
B00004UARR,Who Is Jill Scott? Words and Sounds,5850,10.97,top_review,519
B00018D44U,Feels Like Home,3764,8.98,top_review,514
B00009V8Z9,Chariot,152938,9.77,top_review,514
B0000CD5FR,Eagles : The Very Best Of (2CD),50,13.99,top_salesrank,591
B008K9SG9K,Night Visions,65,19.99,top_salesrank,1291
B00004YNGK,Cat Stevens: Greatest Hits,167,4.99,top_salesrank,125
B00006RAKP,Elton John - Greatest Hits 1970-2002,179,13.88,top_salesrank,388
B000001DUP,20 All Time Greatest Hits!,219,7.99,top_salesrank,125
B0075MFS9Y,The Lumineers,259,25,top_salesrank,901
B00000D9TQ,Hits,273,8.4,top_salesrank,347
B0001XANAS,Reflections: Carly Simon's Greatest Hits,288,7.87,top_salesrank,248
B000002KHQ,Seals &amp; Crofts: Greatest Hits,335,5,top_salesrank,148
B000001DUK,A Decade of Hits 1969-1979,337,7.39,top_salesrank,119
B0009XNUK0,The Essential Michael Jackson,359,11.88,top_salesrank,336
B000N2G3RY,Back To Black Explicit Lyrics,416,21.99,top_salesrank,927
B00005YW4H,Come Away with Me,429,9.95,top_salesrank,1282
B00000FC5H,Earth Wind &amp; Fire: Greatest Hits,445,9.79,top_salesrank,287
B000002NAA,Best of Van Halen,448,4.99,top_salesrank,157
B00008H2LB,Meteora,450,4.99,top_salesrank,1325
B000002O2B,Songs You Know by Heart : Jimmy Buffett's Greatest Hit(s),483,9.79,top_salesrank,186
B00004S51Y,The Very Best of Cat Stevens,567,10.99,top_salesrank,137
B000GG4XI8,Sly &amp; The Family Stone Greatest Hits,588,4.99,top_salesrank,56
B0000032XY,The Very Best of Otis Redding,624,7,top_salesrank,152
B00003002C,Aja,628,4.99,top_salesrank,291
B00005MLVA,America - The Complete Greatest Hits,647,15.37,top_salesrank,200
B0000029B0,Aerosmith's Greatest Hits,663,4.99,top_salesrank,204
B000GG4XHY,BOZ SCAGGS HITS,669,4.99,top_salesrank,87
B000002GVS,Their Greatest Hits 1971-1975,692,8.99,top_salesrank,361
B0000032ZU,The Very Best of Spinners,696,4.99,top_salesrank,102
B0000029DD,Grace,729,4.99,top_salesrank,540
B0001AP0OU,Carpenters Gold (CD) [2 Discs],779,16.19,top_salesrank,192
B00009N1ZV,Portrait of a Legend 1951-1964,809,10.19,top_salesrank,214
B000002WPI,Enter the Wu-Tang: 36 Chambers,830,4.99,top_salesrank,535
B000EHQ80A,Grand Funk Railroad - Greatest Hits,855,6.99,top_salesrank,82
B0000039QA,Life After Death,870,14.92,top_salesrank,217
B000002LAC,Trio,887,4.99,top_salesrank,132
B000001EYI,The Best That I Could Do 1978-1988,904,18.98,top_salesrank,105
